n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
1,0,-,2,mean_impute,max,0.5665760869565217,0.40455917444153117,0.4848484811753903,30.415029525756836
1,0,-,2,mean_impute,topk_0.1,0.7092391304347826,0.48739212331124093,0.5365853610945867,6.716829299926758
1,0,-,2,mean_impute,topk_0.05,0.7024456521739131,0.4841279189932596,0.5416666622222223,9.876084327697754
1,64,reflect,0,zero,mean,0.6127717391304348,0.30429605164964485,0.5161290284287201,11.258841514587402
1,64,reflect,0,zero,max,0.53125,0.2681792593051174,0.4516128993964621,2372.35400390625
1,64,reflect,0,zero,topk_0.1,0.5842391304347826,0.2871254677760432,0.4999999962500001,78.4671401977539
1,64,reflect,0,zero,topk_0.05,0.5733695652173914,0.2815895807837995,0.4848484811753903,128.2364044189453
1,64,reflect,0,mean_impute,mean,0.7934782608695652,0.589428254101429,0.6206896502259216,1.912150263786316
1,64,reflect,0,mean_impute,max,0.5135869565217391,0.3396757437282857,0.4230769188165681,158.7427520751953
1,64,reflect,0,mean_impute,topk_0.1,0.7839673913043478,0.5395804495582814,0.6451612853277836,12.687231063842773
1,64,reflect,0,mean_impute,topk_0.05,0.7758152173913044,0.5330354574560137,0.6666666616712582,20.260652542114258
1,64,reflect,1,zero,mean,0.46467391304347827,0.2900555365297281,0.4444444406550768,155.46043395996094
1,64,reflect,1,zero,max,0.4157608695652174,0.24390661966402818,0.4444444409876544,27052.529296875
1,64,reflect,1,zero,topk_0.1,0.4565217391304348,0.2864652585593189,0.43835616096078067,1040.657470703125
1,64,reflect,1,zero,topk_0.05,0.45516304347826086,0.28589445922774376,0.43835616096078067,1873.4005126953125
1,64,reflect,1,mean_impute,mean,0.6847826086956521,0.3470142328271381,0.599999995648,1.3385146856307983
1,64,reflect,1,mean_impute,max,0.5910326086956521,0.3137232585676666,0.4705882309880815,131.19277954101562
1,64,reflect,1,mean_impute,topk_0.1,0.6847826086956521,0.3466146547120635,0.583333328888889,9.397074699401855
1,64,reflect,1,mean_impute,topk_0.05,0.6698369565217391,0.340766622153634,0.5599999956480001,14.516100883483887
1,64,reflect,2,zero,mean,0.5828804347826088,0.3578732738794442,0.43478260415879016,1975.37646484375
1,64,reflect,2,zero,max,0.5543478260869565,0.3414477314612745,0.4374999962500001,254319.953125
1,64,reflect,2,zero,topk_0.1,0.5815217391304348,0.3569674767779949,0.43478260415879016,18232.236328125
1,64,reflect,2,zero,topk_0.05,0.5760869565217391,0.35499531541085333,0.43478260415879016,33748.2421875
1,64,reflect,2,mean_impute,mean,0.702445652173913,0.4811934447569755,0.5714285667120181,1.0267080068588257
1,64,reflect,2,mean_impute,max,0.5855978260869565,0.33320199245968013,0.4615384572781066,45.99943161010742
1,64,reflect,2,mean_impute,topk_0.1,0.702445652173913,0.4240533392220473,0.5499999952000001,6.305620193481445
1,64,reflect,2,mean_impute,topk_0.05,0.6807065217391305,0.39594860488741346,0.5238095190929706,9.312060356140137
1,64,replicate,0,zero,mean,0.44836956521739135,0.23963032253962344,0.4507042218607419,10.387100219726562
1,64,replicate,0,zero,max,0.3029891304347826,0.1940456759316291,0.4102564069953978,1722.00341796875
1,64,replicate,0,zero,topk_0.1,0.41983695652173914,0.2249108381593838,0.4374999962500001,74.71534729003906
1,64,replicate,0,zero,topk_0.05,0.39266304347826086,0.21593364438457058,0.41666666320987655,118.25940704345703
1,64,replicate,0,mean_impute,mean,0.75,0.4951628728414442,0.5652173867674859,1.723657250404358
1,64,replicate,0,mean_impute,max,0.5108695652173914,0.2615320329935421,0.45901638957269564,109.69560241699219
1,64,replicate,0,mean_impute,topk_0.1,0.7540760869565217,0.47487661744145593,0.5909090862809917,11.526143074035645
1,64,replicate,0,mean_impute,topk_0.05,0.7445652173913043,0.4467555647756194,0.583333328888889,17.749881744384766
1,64,replicate,1,zero,mean,0.3967391304347826,0.23945835534840446,0.4347826051333754,106.4748764038086
1,64,replicate,1,zero,max,0.3845108695652174,0.2649177973009984,0.4210526282548477,15022.2060546875
1,64,replicate,1,zero,topk_0.1,0.3980978260869565,0.2398013431532825,0.4347826051333754,870.803466796875
1,64,replicate,1,zero,topk_0.05,0.4008152173913043,0.24142083273233092,0.4347826051333754,1525.5015869140625
1,64,replicate,1,mean_impute,mean,0.6671195652173914,0.38190289468764316,0.5357142816326531,1.3052867650985718
1,64,replicate,1,mean_impute,max,0.6154891304347826,0.3135525022255866,0.5238095190929706,158.9704132080078
1,64,replicate,1,mean_impute,topk_0.1,0.65625,0.34540743683187985,0.5357142816326531,8.373624801635742
1,64,replicate,1,mean_impute,topk_0.05,0.6494565217391305,0.3380012479771255,0.5263157854355187,13.100939750671387
1,64,replicate,2,zero,mean,0.6453804347826086,0.4797114195768469,0.5333333283555556,5795.69921875
1,64,replicate,2,zero,max,0.6304347826086957,0.4676758860548004,0.5333333283555556,1142523.25
1,64,replicate,2,zero,topk_0.1,0.6426630434782609,0.47849485513353823,0.5333333283555556,54525.453125
1,64,replicate,2,zero,topk_0.05,0.6413043478260869,0.4781377122763954,0.5333333283555556,102042.1875
1,64,replicate,2,mean_impute,mean,0.6684782608695653,0.5082329010012385,0.5294117597231834,1.074716329574585
1,64,replicate,2,mean_impute,max,0.42663043478260865,0.2851877358578461,0.4155844122921235,14.022379875183105
1,64,replicate,2,mean_impute,topk_0.1,0.6725543478260869,0.4954566664479047,0.5128205079815912,5.709275722503662
1,64,replicate,2,mean_impute,topk_0.05,0.6603260869565216,0.4798589379920287,0.5365853610945867,8.464537620544434
1,112,reflect,0,zero,mean,0.5869565217391304,0.2915760124181304,0.4999999962500001,10.958205223083496
1,112,reflect,0,zero,max,0.501358695652174,0.25921182941861987,0.44444443986172844,2709.41455078125
1,112,reflect,0,zero,topk_0.1,0.5570652173913044,0.2750879198728464,0.49180327481859726,79.52442169189453
1,112,reflect,0,zero,topk_0.05,0.5434782608695652,0.2682151691146467,0.49180327481859726,132.54376220703125
1,112,reflect,0,mean_impute,mean,0.7690217391304348,0.5083920339203655,0.583333328888889,1.7618964910507202
1,112,reflect,0,mean_impute,max,0.49184782608695654,0.27513926055204785,0.41666666320987655,101.37591552734375
1,112,reflect,0,mean_impute,topk_0.1,0.7527173913043479,0.48943265491908156,0.5714285665306124,13.650480270385742
1,112,reflect,0,mean_impute,topk_0.05,0.7228260869565217,0.46810533485975386,0.5789473635457064,20.75362777709961
1,112,reflect,1,zero,mean,0.46603260869565216,0.25439157726852135,0.4347826051333754,139.46482849121094
1,112,reflect,1,zero,max,0.43614130434782605,0.2800229857926293,0.44117646698961943,29256.955078125
1,112,reflect,1,zero,topk_0.1,0.46195652173913043,0.2527563531064352,0.4347826051333754,1192.6971435546875
1,112,reflect,1,zero,topk_0.05,0.46195652173913043,0.252046313377054,0.4347826051333754,2118.693115234375
