n_transforms,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
1,2,mean_impute,topk_0.05,0.7296195652173914,0.41351834800517406,0.5853658488994646,10.448257446289062
4,0,zero,mean,0.5597826086956522,0.306060273311632,0.4705882316955018,11.223498344421387
4,0,zero,max,0.46875,0.2514837486634255,0.4285714250448981,2180.65185546875
4,0,zero,topk_0.1,0.5489130434782609,0.298717311154576,0.4666666627555556,79.7549819946289
4,0,zero,topk_0.05,0.5394021739130435,0.2899464812586214,0.45454545087236,125.14459228515625
4,0,mean_impute,mean,0.7703804347826086,0.5408431033071379,0.6111111061728396,2.03414249420166
4,0,mean_impute,max,0.5896739130434783,0.3561396352578441,0.49999999555555563,131.7416229248047
4,0,mean_impute,topk_0.1,0.7540760869565217,0.5461241378194235,0.5777777731950617,11.568416595458984
4,0,mean_impute,topk_0.05,0.7459239130434783,0.5447936832805357,0.5957446763603441,17.831527709960938
4,1,zero,mean,0.4592391304347826,0.23639504509312154,0.4637681123797522,162.8045654296875
4,1,zero,max,0.4157608695652174,0.2240251679631422,0.45714285361632656,27841.31640625
4,1,zero,topk_0.1,0.4592391304347826,0.23646348155861682,0.4637681123797522,1351.718017578125
4,1,zero,topk_0.05,0.4565217391304348,0.23530371321579582,0.4637681123797522,2369.604736328125
4,1,mean_impute,mean,0.6942934782608696,0.36464975692292856,0.5925925884224966,1.6561723947525024
4,1,mean_impute,max,0.6929347826086957,0.4151386548724003,0.5714285667120181,181.13436889648438
4,1,mean_impute,topk_0.1,0.7065217391304348,0.4472929313305584,0.6249999955555556,9.804834365844727
4,1,mean_impute,topk_0.05,0.7024456521739131,0.44870743555211207,0.6122448935610163,15.470595359802246
4,2,zero,mean,0.49999999999999994,0.30333920938299475,0.4507042218607419,1258.2822265625
4,2,zero,max,0.4986413043478261,0.3326212022284895,0.4637681123797522,299719.71875
4,2,zero,topk_0.1,0.49592391304347827,0.3001002877981064,0.4507042218607419,11657.1796875
4,2,zero,topk_0.05,0.4945652173913043,0.2938502877981064,0.4507042218607419,21718.302734375
4,2,mean_impute,mean,0.7038043478260869,0.4600892380562633,0.5454545408264463,1.2461905479431152
4,2,mean_impute,max,0.7092391304347826,0.4297186302880836,0.5789473635457064,41.62150573730469
4,2,mean_impute,topk_0.1,0.7567934782608696,0.45350133464658055,0.6249999955555556,5.82614278793335
4,2,mean_impute,topk_0.05,0.7744565217391305,0.469875614192881,0.6818181771900826,8.670607566833496
8,0,zero,mean,0.45788043478260865,0.24703947510573024,0.4637681123797522,12.660346984863281
8,0,zero,max,0.41032608695652173,0.24063026824178796,0.44117646698961943,2417.11376953125
8,0,zero,topk_0.1,0.45108695652173914,0.2541352098842182,0.4507042218607419,81.79452514648438
8,0,zero,topk_0.05,0.4633152173913043,0.25627423592604914,0.4637681123797522,133.40232849121094
8,0,mean_impute,mean,0.7228260869565217,0.5334591976202556,0.5714285667120181,2.3694052696228027
8,0,mean_impute,max,0.6222826086956521,0.39073018291644274,0.4888888843061729,195.07449340820312
8,0,mean_impute,topk_0.1,0.7146739130434783,0.5241453868299839,0.5641025592636425,14.874086380004883
8,0,mean_impute,topk_0.05,0.7065217391304348,0.5260979047517234,0.5116279023039481,23.641191482543945
8,1,zero,mean,0.358695652173913,0.20416660206320164,0.42253520777623493,263.85986328125
8,1,zero,max,0.34239130434782605,0.20049431156389974,0.4210526282548477,36622.12109375
8,1,zero,topk_0.1,0.36277173913043476,0.20519525531061972,0.42253520777623493,2103.756103515625
8,1,zero,topk_0.05,0.36413043478260865,0.20558791938098459,0.42253520777623493,3593.77294921875
8,1,mean_impute,mean,0.6141304347826086,0.3166497184525181,0.5384615342011835,2.0374562740325928
8,1,mean_impute,max,0.65625,0.40104779461366946,0.5454545408264463,160.13270568847656
8,1,mean_impute,topk_0.1,0.6508152173913043,0.3679773267073459,0.5357142816326531,10.378649711608887
8,1,mean_impute,topk_0.05,0.6521739130434783,0.3745366142184914,0.5423728774030452,15.131431579589844
8,2,zero,mean,0.38858695652173914,0.2801691663138004,0.45714285361632656,4772.51708984375
8,2,zero,max,0.40217391304347827,0.2857565137773227,0.45714285361632656,1077646.25
8,2,zero,topk_0.1,0.38858695652173914,0.27872898323299233,0.45714285361632656,44439.52734375
8,2,zero,topk_0.05,0.38858695652173914,0.27872898323299233,0.45714285361632656,82920.75
8,2,mean_impute,mean,0.6807065217391304,0.5042782649586629,0.5499999952000001,1.447481632232666
8,2,mean_impute,max,0.720108695652174,0.42260148788889795,0.5405405356318481,35.23616409301758
8,2,mean_impute,topk_0.1,0.6834239130434783,0.45306842353590243,0.5294117597231834,6.510049819946289
8,2,mean_impute,topk_0.05,0.7010869565217391,0.46258654527569004,0.5454545408264463,8.649632453918457
16,0,zero,mean,0.485054347826087,0.26135115975420536,0.45614034683902743,16.35658073425293
16,0,zero,max,0.4864130434782609,0.267727431933121,0.44117646698961943,2380.5048828125
16,0,zero,topk_0.1,0.48913043478260876,0.26416199947827285,0.44827585807372183,105.10922241210938
16,0,zero,topk_0.05,0.4904891304347826,0.26926108422821887,0.44067796214880783,163.3409423828125
16,0,mean_impute,mean,0.7092391304347826,0.5251996896432604,0.5128205079815912,2.55151104927063
