Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC	AUPRO	Pixel_AP	Pixel_F1max
119	-11.005864	-10.985648	0.523969	0.707093
120	-11.008396	-11.167838	0.615942	0.707438
121	-11.013829	-11.157647	0.544593	0.707525
122	-11.023978	-11.061612	0.684597	0.707587
123	-11.032143	-11.029381	0.659606	0.707765
124	-11.052135	-11.125780	0.498978	0.707982
125	-11.055493	-11.059929	0.411093	0.708051
126	-11.055081	-10.969659	0.525269	0.708171
127	-11.059733	-10.950270	0.664251	0.708374
128	-11.062871	-11.072481	0.733556	0.708382
129	-11.081784	-11.003057	0.621237	0.708597
130	-11.093725	-11.125957	0.673820	0.708742
131	-11.096106	-11.193884	0.510126	0.708831
132	-11.097838	-10.975975	0.696117	0.708917
133	-11.110099	-11.137181	0.630992	0.709112
134	-11.110597	-11.213242	0.620308	0.709095
135	-11.128883	-11.119951	0.601171	0.709082
136	-11.114863	-11.042002	0.583519	0.709121
137	-11.131660	-11.265916	0.625046	0.709147
138	-11.148906	-11.083347	0.665180	0.709249
139	-11.151478	-11.192425	0.589279	0.709279
140	-11.156387	-11.236022	0.476031	0.709041
141	-11.168274	-11.096807	0.503809	0.708974
142	-11.166755	-11.072910	0.541434	0.708833
143	-11.176620	-11.308300	0.628298	0.708907
144	-11.192529	-11.149877	0.659978	0.709099
145	-11.184073	-11.184872	0.550632	0.708911
146	-11.196959	-11.248779	0.496005	0.708707
147	-11.210926	-11.182482	0.613341	0.708717
148	-11.217343	-11.171681	0.630156	0.708582
149	-11.222376	-11.225372	0.558436	0.708409
150	-11.231320	-10.927447	0.608510	0.708761
151	-11.210052	-11.289523	0.561966	0.708603
152	-11.234739	-11.112828	0.601821	0.708700
153	-11.247973	-11.305092	0.670940	0.708910
154	-11.248240	-11.353294	0.534188	0.708989
155	-11.254333	-11.205759	0.607952	0.708827
156	-11.264129	-11.220714	0.433854	0.708709
157	-11.270351	-11.225377	0.526477	0.708567
158	-11.280194	-11.284061	0.691100	0.708466
159	-11.286890	-11.242786	0.626997	0.708449
160	-11.300024	-11.380413	0.596061	0.708395
161	-11.297951	-11.246279	0.572185	0.708141
162	-11.313362	-11.379983	0.600056	0.708183
163	-11.312463	-11.225197	0.572928	0.708374
164	-11.313467	-11.253604	0.600427	0.708210
165	-11.312100	-11.419126	0.638889	0.707909
166	-11.325535	-11.367494	0.547845	0.707803
167	-11.336514	-11.242155	0.528800	0.707809
168	-11.330738	-11.254029	0.477146	0.707856
169	-11.341733	-11.380547	0.601821	0.707951
170	-11.345991	-11.291146	0.438592	0.708087
171	-11.359353	-11.282758	0.549145	0.707832
172	-11.360056	-11.287402	0.477982	0.707908
173	-11.363885	-11.416061	0.578502	0.707623
174	-11.371117	-11.352796	0.531865	0.707879
175	-11.379899	-11.489532	0.494054	0.707846
176	-11.380216	-11.356325	0.509012	0.707818
177	-11.394237	-11.401069	0.619658	0.707878
178	-11.389343	-11.503037	0.547659	0.707808
179	-11.402161	-11.303626	0.599498	0.707762
180	-11.410193	-11.456885	0.611669	0.707564
181	-11.413870	-11.327048	0.598848	0.707732
182	-11.412784	-11.372895	0.555091	0.707690
183	-11.419480	-11.287166	0.502230	0.707716
184	-11.423282	-11.373870	0.556856	0.707659
185	-11.428752	-11.487144	0.534374	0.707846
186	-11.433966	-11.369082	0.538833	0.707745
187	-11.434696	-11.480651	0.596061	0.707674
188	-11.440474	-11.394240	0.638424	0.707606
189	-11.449499	-11.352546	0.609253	0.707612
190	-11.448014	-11.350123	0.617336	0.707673
191	-11.451990	-11.465305	0.539205	0.707675
192	-11.457291	-11.550088	0.629227	0.707843
193	-11.449844	-11.528605	0.653382	0.707846
194	-11.469897	-11.507154	0.645020	0.707772
195	-11.481988	-11.632375	0.623653	0.707657
196	-11.482318	-11.551809	0.524898	0.707570
197	-11.475856	-11.502655	0.634522	0.707589
198	-11.487522	-11.528863	0.539391	0.707479
199	-11.489192	-11.367588	0.592716	0.707432
200	-11.496518	-11.255982	0.518302	0.706896
201	-11.500827	-11.591374	0.613155	0.706757
202	-11.491707	-11.408556	0.705407	0.706992
203	-11.500691	-11.526272	0.678837	0.707264
204	-11.507131	-11.493691	0.620030	0.707194
205	-11.509410	-11.487108	0.648272	0.706853
206	-11.531571	-11.626984	0.614827	0.706666
207	-11.516929	-11.528276	0.620216	0.706483
208	-11.496465	-11.452901	0.574693	0.706403
209	-11.533226	-11.581759	0.550910	0.706189
210	-11.527888	-11.645597	0.621795	0.706238
211	-11.544921	-11.610077	0.565124	0.706315
212	-11.538834	-11.365723	0.640840	0.706242
213	-11.544648	-11.565704	0.617336	0.706174
214	-11.551857	-11.709186	0.543292	0.706316
215	-11.551629	-11.539430	0.583333	0.706352
216	-11.549503	-11.420200	0.494705	0.706180
217	-11.561878	-11.386315	0.562988	0.706113
218	-11.566962	-11.413679	0.672612	0.706288
219	-11.521897	-11.457652	0.632293	0.706511
